iteration,mean_effect_melanoma,mean_effect_other,selectivity,frac_dependent_melanoma,frac_dependent_other
36,-1.2402540139344336,-0.18451060702751368,-1.0557434069069198,0.7866666666666666,0.027906976744186046
37,-1.3177293398698182,-0.1841364504783834,-1.1335928893914349,0.7733333333333333,0.022325581395348838
38,-1.377953430589759,-0.1903800261354559,-1.187573404454303,0.8266666666666667,0.03348837209302326
39,-1.3934249510711694,-0.1745234137510876,-1.2189015373200818,0.8266666666666667,0.029767441860465118
40,-1.4401681256285632,-0.17945054275594452,-1.2607175828726187,0.88,0.027906976744186046
41,-1.5345574973485892,-0.18557331904244725,-1.3489841783061418,0.88,0.035348837209302326
42,-1.4856367914357784,-0.18777378969102787,-1.2978630017447506,0.92,0.030697674418604652
43,-1.2448551946075963,-0.18860564710671282,-1.0562495475008835,0.7866666666666666,0.026976744186046512
44,-1.2787956333426251,-0.17365221885964008,-1.105143414482985,0.7866666666666666,0.025116279069767444
45,-1.3538447923149037,-0.18267155694173892,-1.1711732353731648,0.7866666666666666,0.026976744186046512
46,-1.2499576811775641,-0.17326229686947986,-1.0766953843080842,0.8,0.022325581395348838
47,-1.2670331873953093,-0.18553104747515362,-1.0815021399201556,0.7866666666666666,0.02883720930232558
48,-1.4220818995157367,-0.1753174343468223,-1.2467644651689145,0.9066666666666666,0.01581395348837209
49,-1.4321426780665918,-0.18767255377733047,-1.2444701242892613,0.8933333333333333,0.029767441860465118
50,-1.4856626977478886,-0.1926333523625824,-1.2930293453853063,0.92,0.030697674418604652
51,-1.3888087840365377,-0.18577359450884867,-1.203035189527689,0.8666666666666667,0.026046511627906978
52,-1.4256675409248747,-0.19255220904230788,-1.2331153318825667,0.8533333333333334,0.023255813953488372
53,-1.5231169937375562,-0.18430933575270358,-1.3388076579848525,0.92,0.023255813953488372
54,-1.3145150815410105,-0.1813324729590512,-1.1331826085819592,0.8266666666666667,0.027906976744186046
55,-1.340801086777053,-0.17180334588453566,-1.1689977408925174,0.84,0.01953488372093023
56,-1.3426313681548474,-0.1894373283687621,-1.1531940397860854,0.84,0.037209302325581395
57,-1.4236215577259923,-0.17756430706316606,-1.2460572506628262,0.8533333333333334,0.02883720930232558
58,-1.291747003178593,-0.1873037957468621,-1.1044432074317307,0.7733333333333333,0.030697674418604652
59,-1.465236958270951,-0.18587949553518002,-1.2793574627357711,0.9066666666666666,0.02883720930232558
60,-1.317303677058885,-0.19760235310312463,-1.1197013239557605,0.7866666666666666,0.035348837209302326
61,-1.2839357312560198,-0.18666563704865238,-1.0972700942073674,0.8133333333333334,0.025116279069767444
62,-1.4100157324451612,-0.1880004661623761,-1.222015266282785,0.88,0.035348837209302326
63,-1.4043214324955693,-0.186963687753057,-1.2173577447425123,0.88,0.04279069767441861
64,-1.3205258870972794,-0.18039021027176103,-1.1401356768255184,0.8266666666666667,0.022325581395348838
65,-1.3197990626444034,-0.18657659844559227,-1.1332224641988111,0.88,0.026046511627906978
