Gene,both_M1M2
ABTB1,-0.00325672166508863
ABTB2,-0.0187923095534974
ACAA1,0
ACAA2,0.00491870050736919
ACACA,0.0157245874931087
ACACB,-0.00252085541958432
ACAD10,0.00412594794113595
ACAD11,0
ACAD8,0.0026325110574432
ACAD9,0.00379764366630324
ACADM,0.00697395776591621
ACADS,0
ACADSB,0.00231363229922158
ACADVL,0.0012612588504089
ACAN,-0.0240098670907499
ACAP1,-0.0057770368834692
ACAP2,0
ACAP3,0.00940819175953558
ACAT1,0.00258910320491706
ACAT2,0.0172501236374134
ACBD3,0.00118589489021348
ACBD4,0
ACBD5,-0.00537227009408246
ACBD6,0.00294381736282784
ACBD7,-0.00195317717282194
ACCS,-0.0031033759914501
ACE,0.024925341835471
ACE2,0.00459441587884607
ACER2,0
ACER3,0.00644323873730159
ACHE,-0.0159221195235695
ACIN1,0.00208883731718444
ACKR2,0.00378996105600847
ACKR3,-0.0126422143289408
ACKR4,-0.00406803236921619
ACLY,0.00243926735757915
ACMSD,0
ACO1,0.00200947876975942
ACO2,0.00755001036115125
ACOT1,0.00247465627865059
ACOT11,0.00868786848247804
ACOT13,0.00121540588827555
ACOT2,0
ACOT6,-0.00564922781126266
ACOT7,0.0169511903287316
ACOT8,0.00204432549519393
ACOT9,-0.00808789884199435
ACOX1,0.00114919049408952
ACOX2,0.022241790758983
ACOX3,0.000186249187603052
ACP1,0.00458417083031782
ACP2,-0.00902850900298207
ACP5,0.00960278190564412
ACP6,0.00297778936136782
ACRBP,-0.00397148371345358
ACSBG1,0
ACSBG2,0.0042368350742428
ACSF2,0.00735517900549313
ACSF3,0.000358448637495338
ACSL1,-0.0131075890233664
ACSL3,0.00133078563843064
ACSL4,-0.00324086112151095
ACSL5,0
ACSL6,0.00485571802869778
ACSM1,-0.0119231330458046
ACSM2A,0.00394316546167011
ACSM3,0
ACSM4,0.00907471806691177
ACSM5,0.0147136800889055
ACSS1,-0.00037854760339282
ACSS2,0.00419142051641478
ACSS3,0.00319920553470437
ACTA2,-0.0124240989383867
ACTB,0.00516111679596514
ACTC1,0
ACTG1,0.00857691941631509
ACTL10,-0.00426816582904867
ACTL6A,0.00675668982954051
ACTN1,0.00399298386782764
ACTN2,0.00832463072582641
ACTN4,-0.00083893298110644
ACTR10,-0.00206104137152687
ACTR1A,-0.00114159957470038
ACTR1B,0.00377209490855067
ACTR2,0.00333246177422005
ACTR3,0.00215318529957128
ACTR3B,0.004995667671597
ACTR3C,-0.0114959710731512
ACTR5,0.00220163034256048
ACTR6,-0.00622648819838827
ACTR8,0.00198604195690885
ACTRT3,-0.00641022630584755
ACVR1,-0.0023775264476375
ACVR1B,-0.00576707785555556
ACVR1C,-0.00615184968872204
ACVR2A,0.00118834037387655
ACVR2B,-0.00213132512836469
ACVRL1,-0.0124965544121936
ACY1,0.00535907494116844
ACY3,-0.00272293223999218
ACYP1,0.00532578416826493
ACYP2,0.00163048210830544
ADA,-0.00244370818336769
ADAL,0.00170305179671033
ADAM10,0.00440524682694418
ADAM11,-0.0124305144804561
ADAM12,0.0317928936558143
ADAM15,0.0119134068118711
ADAM17,-0.00445291838710578
ADAM19,-0.0183617140963347
ADAM20,-0.0100304407051634
ADAM20P1,-0.0119274103332526
ADAM22,-0.00369573300753818
ADAM23,-0.00620378524191603
ADAM28,-0.0140536873283472
ADAM32,-0.00526034491858642
ADAM33,0.00425275191058786
ADAM9,0.00956929538295641
ADAMDEC1,-0.0112696303612795
ADAMTS1,-0.00632249560259624
ADAMTS10,0.00518717085212881
ADAMTS13,-0.00262124981743227
ADAMTS14,-0.000354909523667362
ADAMTS15,0.0349060607186735
ADAMTS17,-0.00352030943268533
ADAMTS2,-0.017987651998165
ADAMTS4,-0.0102326395069392
ADAMTS5,0.0115620502804007
ADAMTS6,0.0115045405026502
ADAMTS7,0
ADAMTS7P1,0
ADAMTS8,0.0114287218851079
ADAMTSL2,0.00578228983400343
ADAMTSL4,0.00517228990784732
ADAP1,-0.000260839615026647
ADAP2,0
ADAR,-0.00666933493049381
ADARB1,0.00785990413765772
ADAT1,0.00162643641135445
ADAT2,0.0133261543507327
ADAT3,-0.00387291102631186
ADCK1,0.00435316892936609
ADCK2,0.00175713736229784
ADCK5,0.00447293282857975
ADCY1,0.021081430524112
ADCY10,0
ADCY10P1,0.00517064576554496
ADCY2,0.00339396383126788
ADCY3,0.0077073577858651
ADCY4,-0.0105736332351716
ADCY5,-0.00525712068521345
ADCY6,0.00455190613397848
ADCY7,0.00308016136787877
ADCY8,0.00935970504840967
