Threshold,Strategy,Net_Benefit,TP,FP,TN,FN,PPV,NNT,Unnecessary_Treatments_Avoided
0.21000000000000002,High TMB,0.26647192469977277,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.22,Treat None,0.0,0,0,113,82,,,113
0.22,Treat All,0.25706771860618016,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.22,Phenotype-Stratified (Q5),0.303353057199211,82,81,32,0,0.5030674846625767,1.9878048780487805,32
0.22,Global Predictor (Q1),0.2715318869165023,82,103,10,0,0.44324324324324327,2.2560975609756095,10
0.22,CD274 (PD-L1+),0.25706771860618016,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.22,High TMB,0.25706771860618016,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.23,Treat None,0.0,0,0,113,82,,,113
0.23,Treat All,0.24741924741924742,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.23,Phenotype-Stratified (Q5),0.30103230103230105,82,78,35,0,0.5125,1.9512195121951221,35
0.23,Global Predictor (Q1),0.2811188811188811,82,91,22,0,0.47398843930635837,2.1097560975609757,22
0.23,CD274 (PD-L1+),0.24741924741924742,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.23,High TMB,0.24741924741924742,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.24000000000000002,Treat None,0.0,0,0,113,82,,,113
0.24000000000000002,Treat All,0.23751686909581643,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.24000000000000002,Phenotype-Stratified (Q5),0.29905533063427797,82,75,38,0,0.5222929936305732,1.9146341463414633,38
0.24000000000000002,Global Predictor (Q1),0.2828609986504723,82,85,28,0,0.49101796407185627,2.0365853658536586,28
0.24000000000000002,CD274 (PD-L1+),0.23751686909581643,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.24000000000000002,High TMB,0.23751686909581643,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.25,Treat None,0.0,0,0,113,82,,,113
0.25,Treat All,0.22735042735042735,82,113,0,0,0.4205128205128205,2.3780487804878048,0
0.25,Phenotype-Stratified (Q5),0.2957264957264958,81,70,43,1,0.5364238410596026,1.8641975308641976,43
0.25,Global Predictor (Q1),0.2905982905982906,82,76,37,0,0.5189873417721519,1.9268292682926829,37
0.25,CD274 (PD-L1+),0.22735042735042735,82,113,0,0,0.4205128205128205,2.3780487804878048,0
